Lower tier local authorities Code,Lower tier local authorities,Age (61 categories) Code,Age (61 categories),Sex (2 categories) Code,Sex (2 categories),Ethnic group (6 categories) Code,Ethnic group (6 categories),Observation
E06000023,Bristol,1,Aged 15 years and under,1,Female,-8,Does not apply,0
E06000023,Bristol,1,Aged 15 years and under,1,Female,1,"Asian, Asian British or Asian Welsh",3022
E06000023,Bristol,1,Aged 15 years and under,1,Female,2,"Black, Black British, Black Welsh, Caribbean or African",4073
E06000023,Bristol,1,Aged 15 years and under,1,Female,3,Mixed or Multiple ethnic groups,4017
E06000023,Bristol,1,Aged 15 years and under,1,Female,4,White,28285
E06000023,Bristol,1,Aged 15 years and under,1,Female,5,Other ethnic group,1034
E06000023,Bristol,1,Aged 15 years and under,2,Male,-8,Does not apply,0
E06000023,Bristol,1,Aged 15 years and under,2,Male,1,"Asian, Asian British or Asian Welsh",3164
E06000023,Bristol,1,Aged 15 years and under,2,Male,2,"Black, Black British, Black Welsh, Caribbean or African",4225
E06000023,Bristol,1,Aged 15 years and under,2,Male,3,Mixed or Multiple ethnic groups,4083
E06000023,Bristol,1,Aged 15 years and under,2,Male,4,White,29615
E06000023,Bristol,1,Aged 15 years and under,2,Male,5,Other ethnic group,1035
E06000023,Bristol,2,Aged 16 years,1,Female,-8,Does not apply,0
E06000023,Bristol,2,Aged 16 years,1,Female,1,"Asian, Asian British or Asian Welsh",184
E06000023,Bristol,2,Aged 16 years,1,Female,2,"Black, Black British, Black Welsh, Caribbean or African",243
E06000023,Bristol,2,Aged 16 years,1,Female,3,Mixed or Multiple ethnic groups,195
E06000023,Bristol,2,Aged 16 years,1,Female,4,White,1495
E06000023,Bristol,2,Aged 16 years,1,Female,5,Other ethnic group,54
E06000023,Bristol,2,Aged 16 years,2,Male,-8,Does not apply,0
E06000023,Bristol,2,Aged 16 years,2,Male,1,"Asian, Asian British or Asian Welsh",199
E06000023,Bristol,2,Aged 16 years,2,Male,2,"Black, Black British, Black Welsh, Caribbean or African",256
E06000023,Bristol,2,Aged 16 years,2,Male,3,Mixed or Multiple ethnic groups,194
E06000023,Bristol,2,Aged 16 years,2,Male,4,White,1655
E06000023,Bristol,2,Aged 16 years,2,Male,5,Other ethnic group,53
E06000023,Bristol,3,Aged 17 years,1,Female,-8,Does not apply,0
E06000023,Bristol,3,Aged 17 years,1,Female,1,"Asian, Asian British or Asian Welsh",177
E06000023,Bristol,3,Aged 17 years,1,Female,2,"Black, Black British, Black Welsh, Caribbean or African",256
E06000023,Bristol,3,Aged 17 years,1,Female,3,Mixed or Multiple ethnic groups,180
E06000023,Bristol,3,Aged 17 years,1,Female,4,White,1485
E06000023,Bristol,3,Aged 17 years,1,Female,5,Other ethnic group,44
E06000023,Bristol,3,Aged 17 years,2,Male,-8,Does not apply,0
E06000023,Bristol,3,Aged 17 years,2,Male,1,"Asian, Asian British or Asian Welsh",223
E06000023,Bristol,3,Aged 17 years,2,Male,2,"Black, Black British, Black Welsh, Caribbean or African",251
E06000023,Bristol,3,Aged 17 years,2,Male,3,Mixed or Multiple ethnic groups,184
E06000023,Bristol,3,Aged 17 years,2,Male,4,White,1542
E06000023,Bristol,3,Aged 17 years,2,Male,5,Other ethnic group,62
E06000023,Bristol,4,Aged 18 years,1,Female,-8,Does not apply,0
E06000023,Bristol,4,Aged 18 years,1,Female,1,"Asian, Asian British or Asian Welsh",195
E06000023,Bristol,4,Aged 18 years,1,Female,2,"Black, Black British, Black Welsh, Caribbean or African",229
E06000023,Bristol,4,Aged 18 years,1,Female,3,Mixed or Multiple ethnic groups,141
E06000023,Bristol,4,Aged 18 years,1,Female,4,White,1326
E06000023,Bristol,4,Aged 18 years,1,Female,5,Other ethnic group,42
E06000023,Bristol,4,Aged 18 years,2,Male,-8,Does not apply,0
E06000023,Bristol,4,Aged 18 years,2,Male,1,"Asian, Asian British or Asian Welsh",205
E06000023,Bristol,4,Aged 18 years,2,Male,2,"Black, Black British, Black Welsh, Caribbean or African",256
E06000023,Bristol,4,Aged 18 years,2,Male,3,Mixed or Multiple ethnic groups,167
E06000023,Bristol,4,Aged 18 years,2,Male,4,White,1380
E06000023,Bristol,4,Aged 18 years,2,Male,5,Other ethnic group,38
E06000023,Bristol,5,Aged 19 years,1,Female,-8,Does not apply,0
E06000023,Bristol,5,Aged 19 years,1,Female,1,"Asian, Asian British or Asian Welsh",225
E06000023,Bristol,5,Aged 19 years,1,Female,2,"Black, Black British, Black Welsh, Caribbean or African",178
E06000023,Bristol,5,Aged 19 years,1,Female,3,Mixed or Multiple ethnic groups,190
E06000023,Bristol,5,Aged 19 years,1,Female,4,White,2013
E06000023,Bristol,5,Aged 19 years,1,Female,5,Other ethnic group,67
E06000023,Bristol,5,Aged 19 years,2,Male,-8,Does not apply,0
E06000023,Bristol,5,Aged 19 years,2,Male,1,"Asian, Asian British or Asian Welsh",283
E06000023,Bristol,5,Aged 19 years,2,Male,2,"Black, Black British, Black Welsh, Caribbean or African",222
E06000023,Bristol,5,Aged 19 years,2,Male,3,Mixed or Multiple ethnic groups,171
E06000023,Bristol,5,Aged 19 years,2,Male,4,White,1923
E06000023,Bristol,5,Aged 19 years,2,Male,5,Other ethnic group,60
E06000023,Bristol,6,Aged 20 years,1,Female,-8,Does not apply,0
E06000023,Bristol,6,Aged 20 years,1,Female,1,"Asian, Asian British or Asian Welsh",386
E06000023,Bristol,6,Aged 20 years,1,Female,2,"Black, Black British, Black Welsh, Caribbean or African",236
E06000023,Bristol,6,Aged 20 years,1,Female,3,Mixed or Multiple ethnic groups,292
E06000023,Bristol,6,Aged 20 years,1,Female,4,White,3512
E06000023,Bristol,6,Aged 20 years,1,Female,5,Other ethnic group,87
E06000023,Bristol,6,Aged 20 years,2,Male,-8,Does not apply,0
E06000023,Bristol,6,Aged 20 years,2,Male,1,"Asian, Asian British or Asian Welsh",417
E06000023,Bristol,6,Aged 20 years,2,Male,2,"Black, Black British, Black Welsh, Caribbean or African",254
E06000023,Bristol,6,Aged 20 years,2,Male,3,Mixed or Multiple ethnic groups,241
E06000023,Bristol,6,Aged 20 years,2,Male,4,White,3325
E06000023,Bristol,6,Aged 20 years,2,Male,5,Other ethnic group,94
E06000023,Bristol,7,Aged 21 years,1,Female,-8,Does not apply,0
E06000023,Bristol,7,Aged 21 years,1,Female,1,"Asian, Asian British or Asian Welsh",321
E06000023,Bristol,7,Aged 21 years,1,Female,2,"Black, Black British, Black Welsh, Caribbean or African",208
E06000023,Bristol,7,Aged 21 years,1,Female,3,Mixed or Multiple ethnic groups,282
E06000023,Bristol,7,Aged 21 years,1,Female,4,White,3977
E06000023,Bristol,7,Aged 21 years,1,Female,5,Other ethnic group,66
E06000023,Bristol,7,Aged 21 years,2,Male,-8,Does not apply,0
E06000023,Bristol,7,Aged 21 years,2,Male,1,"Asian, Asian British or Asian Welsh",350
E06000023,Bristol,7,Aged 21 years,2,Male,2,"Black, Black British, Black Welsh, Caribbean or African",247
E06000023,Bristol,7,Aged 21 years,2,Male,3,Mixed or Multiple ethnic groups,289
E06000023,Bristol,7,Aged 21 years,2,Male,4,White,3758
E06000023,Bristol,7,Aged 21 years,2,Male,5,Other ethnic group,94
E06000023,Bristol,8,Aged 22 years,1,Female,-8,Does not apply,0
E06000023,Bristol,8,Aged 22 years,1,Female,1,"Asian, Asian British or Asian Welsh",298
E06000023,Bristol,8,Aged 22 years,1,Female,2,"Black, Black British, Black Welsh, Caribbean or African",197
E06000023,Bristol,8,Aged 22 years,1,Female,3,Mixed or Multiple ethnic groups,249
E06000023,Bristol,8,Aged 22 years,1,Female,4,White,3579
E06000023,Bristol,8,Aged 22 years,1,Female,5,Other ethnic group,63
E06000023,Bristol,8,Aged 22 years,2,Male,-8,Does not apply,0
E06000023,Bristol,8,Aged 22 years,2,Male,1,"Asian, Asian British or Asian Welsh",370
E06000023,Bristol,8,Aged 22 years,2,Male,2,"Black, Black British, Black Welsh, Caribbean or African",204
E06000023,Bristol,8,Aged 22 years,2,Male,3,Mixed or Multiple ethnic groups,246
E06000023,Bristol,8,Aged 22 years,2,Male,4,White,3435
E06000023,Bristol,8,Aged 22 years,2,Male,5,Other ethnic group,97
E06000023,Bristol,9,Aged 23 years,1,Female,-8,Does not apply,0
E06000023,Bristol,9,Aged 23 years,1,Female,1,"Asian, Asian British or Asian Welsh",277
E06000023,Bristol,9,Aged 23 years,1,Female,2,"Black, Black British, Black Welsh, Caribbean or African",203
E06000023,Bristol,9,Aged 23 years,1,Female,3,Mixed or Multiple ethnic groups,247
E06000023,Bristol,9,Aged 23 years,1,Female,4,White,3459
E06000023,Bristol,9,Aged 23 years,1,Female,5,Other ethnic group,83
E06000023,Bristol,9,Aged 23 years,2,Male,-8,Does not apply,0
E06000023,Bristol,9,Aged 23 years,2,Male,1,"Asian, Asian British or Asian Welsh",297
E06000023,Bristol,9,Aged 23 years,2,Male,2,"Black, Black British, Black Welsh, Caribbean or African",168
E06000023,Bristol,9,Aged 23 years,2,Male,3,Mixed or Multiple ethnic groups,228
E06000023,Bristol,9,Aged 23 years,2,Male,4,White,3235
E06000023,Bristol,9,Aged 23 years,2,Male,5,Other ethnic group,81
E06000023,Bristol,10,Aged 24 years,1,Female,-8,Does not apply,0
E06000023,Bristol,10,Aged 24 years,1,Female,1,"Asian, Asian British or Asian Welsh",253
E06000023,Bristol,10,Aged 24 years,1,Female,2,"Black, Black British, Black Welsh, Caribbean or African",211
E06000023,Bristol,10,Aged 24 years,1,Female,3,Mixed or Multiple ethnic groups,248
E06000023,Bristol,10,Aged 24 years,1,Female,4,White,3298
E06000023,Bristol,10,Aged 24 years,1,Female,5,Other ethnic group,64
E06000023,Bristol,10,Aged 24 years,2,Male,-8,Does not apply,0
E06000023,Bristol,10,Aged 24 years,2,Male,1,"Asian, Asian British or Asian Welsh",263
E06000023,Bristol,10,Aged 24 years,2,Male,2,"Black, Black British, Black Welsh, Caribbean or African",179
E06000023,Bristol,10,Aged 24 years,2,Male,3,Mixed or Multiple ethnic groups,207
E06000023,Bristol,10,Aged 24 years,2,Male,4,White,3435
E06000023,Bristol,10,Aged 24 years,2,Male,5,Other ethnic group,67
E06000023,Bristol,11,Aged 25 years,1,Female,-8,Does not apply,0
E06000023,Bristol,11,Aged 25 years,1,Female,1,"Asian, Asian British or Asian Welsh",260
E06000023,Bristol,11,Aged 25 years,1,Female,2,"Black, Black British, Black Welsh, Caribbean or African",192
E06000023,Bristol,11,Aged 25 years,1,Female,3,Mixed or Multiple ethnic groups,225
E06000023,Bristol,11,Aged 25 years,1,Female,4,White,3409
E06000023,Bristol,11,Aged 25 years,1,Female,5,Other ethnic group,78
E06000023,Bristol,11,Aged 25 years,2,Male,-8,Does not apply,0
E06000023,Bristol,11,Aged 25 years,2,Male,1,"Asian, Asian British or Asian Welsh",261
E06000023,Bristol,11,Aged 25 years,2,Male,2,"Black, Black British, Black Welsh, Caribbean or African",183
E06000023,Bristol,11,Aged 25 years,2,Male,3,Mixed or Multiple ethnic groups,206
E06000023,Bristol,11,Aged 25 years,2,Male,4,White,3536
E06000023,Bristol,11,Aged 25 years,2,Male,5,Other ethnic group,64
E06000023,Bristol,12,Aged 26 years,1,Female,-8,Does not apply,0
E06000023,Bristol,12,Aged 26 years,1,Female,1,"Asian, Asian British or Asian Welsh",270
E06000023,Bristol,12,Aged 26 years,1,Female,2,"Black, Black British, Black Welsh, Caribbean or African",195
E06000023,Bristol,12,Aged 26 years,1,Female,3,Mixed or Multiple ethnic groups,202
E06000023,Bristol,12,Aged 26 years,1,Female,4,White,3764
E06000023,Bristol,12,Aged 26 years,1,Female,5,Other ethnic group,91
E06000023,Bristol,12,Aged 26 years,2,Male,-8,Does not apply,0
E06000023,Bristol,12,Aged 26 years,2,Male,1,"Asian, Asian British or Asian Welsh",224
E06000023,Bristol,12,Aged 26 years,2,Male,2,"Black, Black British, Black Welsh, Caribbean or African",158
E06000023,Bristol,12,Aged 26 years,2,Male,3,Mixed or Multiple ethnic groups,205
E06000023,Bristol,12,Aged 26 years,2,Male,4,White,3663
E06000023,Bristol,12,Aged 26 years,2,Male,5,Other ethnic group,64
E06000023,Bristol,13,Aged 27 years,1,Female,-8,Does not apply,0
E06000023,Bristol,13,Aged 27 years,1,Female,1,"Asian, Asian British or Asian Welsh",230
E06000023,Bristol,13,Aged 27 years,1,Female,2,"Black, Black British, Black Welsh, Caribbean or African",213
E06000023,Bristol,13,Aged 27 years,1,Female,3,Mixed or Multiple ethnic groups,213
E06000023,Bristol,13,Aged 27 years,1,Female,4,White,3728
E06000023,Bristol,13,Aged 27 years,1,Female,5,Other ethnic group,76
E06000023,Bristol,13,Aged 27 years,2,Male,-8,Does not apply,0
E06000023,Bristol,13,Aged 27 years,2,Male,1,"Asian, Asian British or Asian Welsh",219
E06000023,Bristol,13,Aged 27 years,2,Male,2,"Black, Black British, Black Welsh, Caribbean or African",134
E06000023,Bristol,13,Aged 27 years,2,Male,3,Mixed or Multiple ethnic groups,197
E06000023,Bristol,13,Aged 27 years,2,Male,4,White,3745
E06000023,Bristol,13,Aged 27 years,2,Male,5,Other ethnic group,84
E06000023,Bristol,14,Aged 28 years,1,Female,-8,Does not apply,0
E06000023,Bristol,14,Aged 28 years,1,Female,1,"Asian, Asian British or Asian Welsh",291
E06000023,Bristol,14,Aged 28 years,1,Female,2,"Black, Black British, Black Welsh, Caribbean or African",181
E06000023,Bristol,14,Aged 28 years,1,Female,3,Mixed or Multiple ethnic groups,212
E06000023,Bristol,14,Aged 28 years,1,Female,4,White,3609
E06000023,Bristol,14,Aged 28 years,1,Female,5,Other ethnic group,67
E06000023,Bristol,14,Aged 28 years,2,Male,-8,Does not apply,0
E06000023,Bristol,14,Aged 28 years,2,Male,1,"Asian, Asian British or Asian Welsh",241
E06000023,Bristol,14,Aged 28 years,2,Male,2,"Black, Black British, Black Welsh, Caribbean or African",141
E06000023,Bristol,14,Aged 28 years,2,Male,3,Mixed or Multiple ethnic groups,185
E06000023,Bristol,14,Aged 28 years,2,Male,4,White,3784
E06000023,Bristol,14,Aged 28 years,2,Male,5,Other ethnic group,88
E06000023,Bristol,15,Aged 29 years,1,Female,-8,Does not apply,0
E06000023,Bristol,15,Aged 29 years,1,Female,1,"Asian, Asian British or Asian Welsh",262
E06000023,Bristol,15,Aged 29 years,1,Female,2,"Black, Black British, Black Welsh, Caribbean or African",164
E06000023,Bristol,15,Aged 29 years,1,Female,3,Mixed or Multiple ethnic groups,189
E06000023,Bristol,15,Aged 29 years,1,Female,4,White,3729
E06000023,Bristol,15,Aged 29 years,1,Female,5,Other ethnic group,85
E06000023,Bristol,15,Aged 29 years,2,Male,-8,Does not apply,0
E06000023,Bristol,15,Aged 29 years,2,Male,1,"Asian, Asian British or Asian Welsh",230
E06000023,Bristol,15,Aged 29 years,2,Male,2,"Black, Black British, Black Welsh, Caribbean or African",157
E06000023,Bristol,15,Aged 29 years,2,Male,3,Mixed or Multiple ethnic groups,163
E06000023,Bristol,15,Aged 29 years,2,Male,4,White,3849
E06000023,Bristol,15,Aged 29 years,2,Male,5,Other ethnic group,79
E06000023,Bristol,16,Aged 30 years,1,Female,-8,Does not apply,0
E06000023,Bristol,16,Aged 30 years,1,Female,1,"Asian, Asian British or Asian Welsh",277
E06000023,Bristol,16,Aged 30 years,1,Female,2,"Black, Black British, Black Welsh, Caribbean or African",190
E06000023,Bristol,16,Aged 30 years,1,Female,3,Mixed or Multiple ethnic groups,219
E06000023,Bristol,16,Aged 30 years,1,Female,4,White,3743
E06000023,Bristol,16,Aged 30 years,1,Female,5,Other ethnic group,90
E06000023,Bristol,16,Aged 30 years,2,Male,-8,Does not apply,0
E06000023,Bristol,16,Aged 30 years,2,Male,1,"Asian, Asian British or Asian Welsh",231
E06000023,Bristol,16,Aged 30 years,2,Male,2,"Black, Black British, Black Welsh, Caribbean or African",139
E06000023,Bristol,16,Aged 30 years,2,Male,3,Mixed or Multiple ethnic groups,182
E06000023,Bristol,16,Aged 30 years,2,Male,4,White,3780
E06000023,Bristol,16,Aged 30 years,2,Male,5,Other ethnic group,99
E06000023,Bristol,17,Aged 31 years,1,Female,-8,Does not apply,0
E06000023,Bristol,17,Aged 31 years,1,Female,1,"Asian, Asian British or Asian Welsh",272
E06000023,Bristol,17,Aged 31 years,1,Female,2,"Black, Black British, Black Welsh, Caribbean or African",193
E06000023,Bristol,17,Aged 31 years,1,Female,3,Mixed or Multiple ethnic groups,211
E06000023,Bristol,17,Aged 31 years,1,Female,4,White,3686
E06000023,Bristol,17,Aged 31 years,1,Female,5,Other ethnic group,120
E06000023,Bristol,17,Aged 31 years,2,Male,-8,Does not apply,0
E06000023,Bristol,17,Aged 31 years,2,Male,1,"Asian, Asian British or Asian Welsh",226
E06000023,Bristol,17,Aged 31 years,2,Male,2,"Black, Black British, Black Welsh, Caribbean or African",159
E06000023,Bristol,17,Aged 31 years,2,Male,3,Mixed or Multiple ethnic groups,164
E06000023,Bristol,17,Aged 31 years,2,Male,4,White,3745
E06000023,Bristol,17,Aged 31 years,2,Male,5,Other ethnic group,109
E06000023,Bristol,18,Aged 32 years,1,Female,-8,Does not apply,0
