Lower tier local authorities Code,Lower tier local authorities,Age (61 categories) Code,Age (61 categories),Sex (2 categories) Code,Sex (2 categories),Ethnic group (6 categories) Code,Ethnic group (6 categories),Tenure of household (7 categories) Code,Tenure of household (7 categories),Observation
E06000023,Bristol,1,Aged 15 years and under,1,Female,-8,Does not apply,-8,Does not apply,0
E06000023,Bristol,1,Aged 15 years and under,1,Female,-8,Does not apply,0,Owned: Owns outright,0
E06000023,Bristol,1,Aged 15 years and under,1,Female,-8,Does not apply,1,Owned: Owns with a mortgage or loan or shared ownership,0
E06000023,Bristol,1,Aged 15 years and under,1,Female,-8,Does not apply,2,Social rented: Rents from council or Local Authority,0
E06000023,Bristol,1,Aged 15 years and under,1,Female,-8,Does not apply,3,Social rented: Other social rented,0
E06000023,Bristol,1,Aged 15 years and under,1,Female,-8,Does not apply,4,Private rented: Private landlord or letting agency,0
E06000023,Bristol,1,Aged 15 years and under,1,Female,-8,Does not apply,5,Private rented: Other private rented or lives rent free,0
E06000023,Bristol,1,Aged 15 years and under,1,Female,1,"Asian, Asian British or Asian Welsh",-8,Does not apply,0
E06000023,Bristol,1,Aged 15 years and under,1,Female,1,"Asian, Asian British or Asian Welsh",0,Owned: Owns outright,321
E06000023,Bristol,1,Aged 15 years and under,1,Female,1,"Asian, Asian British or Asian Welsh",1,Owned: Owns with a mortgage or loan or shared ownership,1300
E06000023,Bristol,1,Aged 15 years and under,1,Female,1,"Asian, Asian British or Asian Welsh",2,Social rented: Rents from council or Local Authority,441
E06000023,Bristol,1,Aged 15 years and under,1,Female,1,"Asian, Asian British or Asian Welsh",3,Social rented: Other social rented,161
E06000023,Bristol,1,Aged 15 years and under,1,Female,1,"Asian, Asian British or Asian Welsh",4,Private rented: Private landlord or letting agency,680
E06000023,Bristol,1,Aged 15 years and under,1,Female,1,"Asian, Asian British or Asian Welsh",5,Private rented: Other private rented or lives rent free,121
E06000023,Bristol,1,Aged 15 years and under,1,Female,2,"Black, Black British, Black Welsh, Caribbean or African",-8,Does not apply,0
E06000023,Bristol,1,Aged 15 years and under,1,Female,2,"Black, Black British, Black Welsh, Caribbean or African",0,Owned: Owns outright,45
